album_name_live,track_name_studio,artist_name_studio,track_key,difference_energy,difference_tempo,difference_speechiness,difference_dance,difference_instrumentalness,difference_valence,difference_acousticness,difference_duration,difference_overall,key_variable
Live Trax Vol. 23: Whittemoore Center Arena,Satellite,Dave Matthews Band,7FXoionVqQVZISNUgCIenZ2MKcIXCSMoZFoLpVmKZZ0w,-0.159,5.974,0.0174,-0.144,5.8e-06,0.167,0.545,52867,1.0324058,difference_acousticness
Live Trax Vol. 1: Centrum Centre,Satellite - Flat Five Studio Version,Dave Matthews Band,5Hcc9MOGN5OVMozmgOr2Ji3lEkgOODXCnzzn4KeMjxk4,0.474,-7.185,0.0049,-0.243,0.0662,-0.126,-0.118,118974,1.0321,difference_energy
Live Trax Vol. 24: Spartanburg Memorial Auditorium,Crash into Me,Dave Matthews Band,77pOyJP8PK4XoUr80TqJjr3N0x4Mq3lPnT1sHNJFSD9Y,-0.153,2.658,-0.0063,-0.168,-0.0188,0.092,0.593,-18613,1.0311,difference_acousticness
Live Trax Vol. 24: Spartanburg Memorial Auditorium,Crash into Me,Dave Matthews Band,1HL3yEnYq8LEyFQ3QegA5V3N0x4Mq3lPnT1sHNJFSD9Y,-0.153,2.658,-0.0063,-0.168,-0.0188,0.092,0.593,-18613,1.0311,difference_acousticness
"Live Trax Vol. 27: Luna Park, Buenos Aires, Argentina",Satellite - Flat Five Studio Version,Dave Matthews Band,5Hcc9MOGN5OVMozmgOr2Ji62rhf0gqmdN2ntJmXKabO8,0.377,5.919,0.0401,-0.3,0.0,0.058,-0.246,18254,1.0211000000000001,difference_energy
Remember Two Things,Tripping Billies,Dave Matthews Band,4fXoeBGrVWfNKpdcmL8tw65i6At4AB11aAmNyaXncXA7,-0.272,0.333,-0.0014,-0.061,-0.0342,-0.199,0.4535,-14534,1.0211000000000001,difference_acousticness
Remember Two Things,Tripping Billies,Dave Matthews Band,4fXoeBGrVWfNKpdcmL8tw62miB0iEQziDjF8pRQnTRIB,-0.272,0.333,-0.0014,-0.061,-0.0342,-0.199,0.4535,-14534,1.0211000000000001,difference_acousticness
Remember Two Things,Tripping Billies,Dave Matthews Band,1Rzhgl9YdghSUs37xUiQX25i6At4AB11aAmNyaXncXA7,-0.272,0.333,-0.0014,-0.061,-0.0342,-0.199,0.4535,-14534,1.0211000000000001,difference_acousticness
Remember Two Things,Tripping Billies,Dave Matthews Band,1Rzhgl9YdghSUs37xUiQX22miB0iEQziDjF8pRQnTRIB,-0.272,0.333,-0.0014,-0.061,-0.0342,-0.199,0.4535,-14534,1.0211000000000001,difference_acousticness
Live Trax Vol. 6: Fenway Park,Satellite - Flat Five Studio Version,Dave Matthews Band,5Hcc9MOGN5OVMozmgOr2Ji3MYXLkk1Fi9VLGOamz6Rvs,0.437,-7.338,0.0067,-0.13,-5.95e-06,-0.068,-0.372,21240,1.01370595,difference_energy
Live At Mile High Music Festival,Old Dirt Hill (Bring That Beat Back),Dave Matthews Band,1GCaJJ1JoTTlD6SvNTVlqo10MMia3AKA2f0MrAbNTTAe,0.019,7.456,0.0149,-0.204,-0.001,-0.417,0.355,13907,1.0109,difference_acousticness
Live At Mile High Music Festival,Old Dirt Hill (Bring That Beat Back),Dave Matthews Band,1GCaJJ1JoTTlD6SvNTVlqo5DtuxzFFBiJ4CFulUhQaTd,0.019,7.456,0.0149,-0.204,-0.001,-0.417,0.355,13907,1.0109,difference_acousticness
Live At Mile High Music Festival,Old Dirt Hill (Bring That Beat Back),Dave Matthews Band,7tq6w65OrQ0oNnGRQ8VHfa10MMia3AKA2f0MrAbNTTAe,0.019,7.456,0.0149,-0.204,-0.001,-0.417,0.355,13907,1.0109,difference_acousticness
Live At Mile High Music Festival,Old Dirt Hill (Bring That Beat Back),Dave Matthews Band,7tq6w65OrQ0oNnGRQ8VHfa5DtuxzFFBiJ4CFulUhQaTd,0.019,7.456,0.0149,-0.204,-0.001,-0.417,0.355,13907,1.0109,difference_acousticness
Live Trax Vol. 23: Whittemoore Center Arena,Warehouse,Dave Matthews Band,2YuZ0tk2sTmoiO3nqpHVLm7nmJOIsqF0zc9N1OivOMtr,-0.164,-5.14,0.0227,-0.022,-0.0002,-0.228,0.5729,196507,1.0098,difference_acousticness
Live Trax Vol. 28: John Paul Jones Arena,Stay (Wasting Time),Dave Matthews Band,2prt7Yn1NheVqcNcpoplSp0arN4jIqha1oFUCMv30Ss8,0.047,4.095,0.1966,-0.166,-3.13e-06,-0.503,-0.0965,143547,1.00910313,difference_speechiness
Live Trax Vol. 28: John Paul Jones Arena,Stay (Wasting Time),Dave Matthews Band,1p0PzZlqLyWIYxg0odxIZp0arN4jIqha1oFUCMv30Ss8,0.047,4.095,0.1966,-0.166,-3.13e-06,-0.503,-0.0965,143547,1.00910313,difference_speechiness
Live At Mile High Music Festival,So Much to Say,Dave Matthews Band,613iDxRT4mRiGou99Bbk1y3G0aFvewZ8ukT5PBbdRvkP,0.128,-2.989,0.1133,-0.106,-0.0017,-0.427,0.2291,99426,1.0051,difference_acousticness
Live At Mile High Music Festival,So Much to Say,Dave Matthews Band,613iDxRT4mRiGou99Bbk1y6vWcN4Jr40z4kdv0aFraUX,0.128,-2.989,0.1133,-0.106,-0.0017,-0.427,0.2291,99426,1.0051,difference_acousticness
Live Trax Vol. 8: Alpine Valley Music Theatre,So Much to Say,Dave Matthews Band,613iDxRT4mRiGou99Bbk1y5VgUzKTwOzyhKpq6BQYPRe,0.183,-1.526,0.0353,-0.082,-0.0017,-0.365,0.3381,6600,1.0051,difference_acousticness
Live At Mile High Music Festival,So Much to Say,Dave Matthews Band,5NLUcVnVHfnkt4uUexWdIH3G0aFvewZ8ukT5PBbdRvkP,0.128,-2.989,0.1133,-0.106,-0.0017,-0.427,0.2291,99426,1.0051,difference_acousticness
Live At Mile High Music Festival,So Much to Say,Dave Matthews Band,5NLUcVnVHfnkt4uUexWdIH6vWcN4Jr40z4kdv0aFraUX,0.128,-2.989,0.1133,-0.106,-0.0017,-0.427,0.2291,99426,1.0051,difference_acousticness
Live Trax Vol. 8: Alpine Valley Music Theatre,So Much to Say,Dave Matthews Band,5NLUcVnVHfnkt4uUexWdIH5VgUzKTwOzyhKpq6BQYPRe,0.183,-1.526,0.0353,-0.082,-0.0017,-0.365,0.3381,6600,1.0051,difference_acousticness
Live Trax Vol. 28: John Paul Jones Arena,Halloween,Dave Matthews Band,1Gd94s5LmBqiHvJ5T5f9EF7LGbc2tEBs8AOM7UEaIZNZ,0.079,8.699,0.1342,-0.326,-0.0001,-0.3683,-0.097,82093,1.0046,difference_speechiness
Live Trax Vol. 8: Alpine Valley Music Theatre,Everyday,Dave Matthews Band,4UkejguW7NyNfcWl2r4fqV5wFn0e8W7UD5oqsxXm9HTn,-0.139,-0.383,0.0047,-0.219,0.0005,-0.034,0.605,331960,1.0022,difference_acousticness
Live Trax Vol. 8: Alpine Valley Music Theatre,Everyday,Dave Matthews Band,7MfQyndzk9R3pRRl5eGnNV5wFn0e8W7UD5oqsxXm9HTn,-0.139,-0.383,0.0047,-0.219,0.0005,-0.034,0.605,331960,1.0022,difference_acousticness
Live Trax Vol. 28: John Paul Jones Arena,Halloween,Dave Matthews Band,2JQ5UEeNaA2Uow8bL8GmFF7LGbc2tEBs8AOM7UEaIZNZ,0.079,8.705,0.1324,-0.327,-0.0001,-0.3653,-0.097,82093,1.0008,difference_speechiness
Live Trax Vol. 6: Fenway Park,Dancing Nancies,Dave Matthews Band,3VzZ1sPfv6i0t0vAuKjKoJ5LrfYpSYjKnp4f1WyGcSiG,0.106,4.257,0.0122,-0.225,0.0083,-0.306,0.3431,295187,1.0006000000000002,difference_acousticness
Live Trax Vol. 2: Golden Gate Park,Everyday,Dave Matthews Band,4UkejguW7NyNfcWl2r4fqV4xZIIU7SjOV0iS2EpoLFT1,-0.227,-0.029,0.0138,-0.109,0.0198,-0.243,0.386,252453,0.9986,difference_acousticness
Live Trax Vol. 2: Golden Gate Park,Everyday,Dave Matthews Band,7MfQyndzk9R3pRRl5eGnNV4xZIIU7SjOV0iS2EpoLFT1,-0.227,-0.029,0.0138,-0.109,0.0198,-0.243,0.386,252453,0.9986,difference_acousticness
Live Trax Vol. 14: Nissan Pavilion,You Might Die Trying,Dave Matthews Band,1OpQKRDEmTl3zG9NJAgzP36NwUkj5iJ9oGGaoDURO35I,0.137,7.218,0.0142,-0.342,0.077,-0.358,-0.0681,247347,0.9963,difference_energy
Live Trax Vol. 14: Nissan Pavilion,You Might Die Trying,Dave Matthews Band,5tCwb28rLpiyqqfu5m2CDN6NwUkj5iJ9oGGaoDURO35I,0.137,7.218,0.0142,-0.342,0.077,-0.358,-0.0681,247347,0.9963,difference_energy
Live Trax Vol. 20: Wetlands Preserve,Satellite - Flat Five Studio Version,Dave Matthews Band,5Hcc9MOGN5OVMozmgOr2Ji2KHacLT3Iskjb0bC0gWDVE,0.187,-2.369,0.0046,-0.071,0.0936,-0.058,-0.58,47080,0.9942,difference_energy
Live Trax Vol. 8: Alpine Valley Music Theatre,When the World Ends,Dave Matthews Band,1HQz5xSGE7aD1S4u5ZpWeA4EtSsnDnLYaKEXAIjuPcRN,0.165,69.3,0.1173,-0.102,-0.0026,-0.223,0.381,17906,0.9909,difference_acousticness
Live Trax Vol. 8: Alpine Valley Music Theatre,When the World Ends,Dave Matthews Band,14iPzoA5YzxH2HXItGeoT44EtSsnDnLYaKEXAIjuPcRN,0.165,69.3,0.1173,-0.102,-0.0026,-0.223,0.381,17906,0.9909,difference_acousticness
Live Trax Vol. 6: Fenway Park,Dancing Nancies,Dave Matthews Band,3VzZ1sPfv6i0t0vAuKjKoJ0WQ4il1Iru6pWhsMoOI2Cn,0.11,2.112,0.011,-0.225,0.0076,-0.308,0.3251,295187,0.9867,difference_acousticness
Live Trax Vol. 21: SOMA,Pay for What You Get - Flat Five Studio Version,Dave Matthews Band,3NI1rwn9vc84e5a9mOpLtp4i8V04BY4pq3L1cjy2rug3,0.087,53.192,-0.0054,-0.409,-0.0137,-0.109,-0.355,139614,0.9790999999999999,difference_energy
Live Trax Vol. 21: SOMA,Pay for What You Get - Flat Five Studios Bonus Trax,Dave Matthews Band,3h6hi6VfX923YyCl7VtvlR4i8V04BY4pq3L1cjy2rug3,0.087,53.192,-0.0054,-0.409,-0.0137,-0.109,-0.355,139614,0.9790999999999999,difference_energy
Live Trax Vol. 10: Pavilion Atlantico,Lie in Our Graves,Dave Matthews Band,3R8APSFlJuawCg1qi5Ed3E5MTuiQKfeiEoexk4AN7Ltv,0.174,-9.229,0.041,-0.22,0.245,-0.255,-0.042,649053,0.977,difference_instrumentalness
Live Trax Vol. 10: Pavilion Atlantico,Lie in Our Graves,Dave Matthews Band,0fkgO5vFDzMhOnM8rr7SE65MTuiQKfeiEoexk4AN7Ltv,0.174,-9.229,0.041,-0.22,0.245,-0.255,-0.042,649053,0.977,difference_instrumentalness
DMB Live Trax Vol. 13,Louisiana Bayou,Dave Matthews Band,2wObNTKdtbIoFl5Ti83yXF4gDZB53dK4Qwz4ZXm3qByK,0.049,1.418,0.0412,-0.243,0.0188,-0.547,-0.0767,169293,0.9757,difference_energy
DMB Live Trax Vol. 13,Louisiana Bayou,Dave Matthews Band,2X3TEe0xD8cZvYGmJivR7t4gDZB53dK4Qwz4ZXm3qByK,0.049,1.418,0.0412,-0.243,0.0188,-0.547,-0.0767,169293,0.9757,difference_energy
Live Trax Vol. 10: Pavilion Atlantico,Ants Marching,Dave Matthews Band,3HL9dtbUo5mJwXQyaEUESR2A2RIfu8NAB2nc2xE7oPxN,0.138,2.402,0.0915,-0.263,0.0034,-0.277,0.1953,194960,0.9682000000000001,difference_acousticness
Live Trax Vol. 6: Fenway Park,Satellite - Flat Five Studio Version,Dave Matthews Band,5Hcc9MOGN5OVMozmgOr2Ji0kRQ6m50fbRNIhdis2kUYs,0.424,-7.383,0.0047,-0.114,-3.94e-06,-0.08,-0.345,21240,0.9677039399999999,difference_energy
Live Trax Vol. 20: Wetlands Preserve,Typical Situation - Flat Five Studio Version,Dave Matthews Band,76olnHGcqOrqUklnUgmCkp5mLuJAHL1Rm9PD1WNje6te,0.319,-0.18,-0.0021,-0.089,0.0034,-0.101,-0.4444,169986,0.9589000000000001,difference_energy
Live Trax Vol. 20: Wetlands Preserve,Typical Situation - Flat Five Studios Bonus Trax,Dave Matthews Band,1UaizcAeBavxYqt1Poh9MI5mLuJAHL1Rm9PD1WNje6te,0.319,-0.18,-0.0021,-0.089,0.0034,-0.101,-0.4444,169986,0.9589000000000001,difference_energy
Live Trax Vol. 2: Golden Gate Park,#41,Dave Matthews Band,2nklcPJ3YhYJfC2ibStXz94z0PRznM5XOxH2wJaNf2Fb,0.161,-10.271,0.0425,-0.269,-0.0382,-0.431,0.0124,137240,0.9541000000000001,difference_energy
Live Trax Vol. 2: Golden Gate Park,#41,Dave Matthews Band,3ITGICyYHC13EkB7efdr8K4z0PRznM5XOxH2wJaNf2Fb,0.161,-10.271,0.0425,-0.269,-0.0382,-0.431,0.0124,137240,0.9541000000000001,difference_energy
Live Trax Vol. 10: Pavilion Atlantico,Grey Street,Dave Matthews Band,6CJOSHb0RyHMiySHqfLMoN0wUe0Ge89KdKsQC1nHNMs6,0.08,4.676,0.116,-0.136,0.0001,-0.492,-0.1234,43307,0.9474999999999999,difference_speechiness
Live Trax Vol. 10: Pavilion Atlantico,Grey Street,Dave Matthews Band,65JmIZCsgkw2mbfobxt1CR0wUe0Ge89KdKsQC1nHNMs6,0.08,4.676,0.116,-0.136,0.0001,-0.492,-0.1234,43307,0.9474999999999999,difference_speechiness
The Central Park Concert,Where Are You Going,Dave Matthews Band,15MhLnkZLJe4Z2tLISwe5k375SLAFASTGRp8ebcbWFZb,0.219,-4.728,0.0081,-0.168,-0.1425,0.037,-0.37,2040,0.9446,difference_energy
The Central Park Concert,Where Are You Going,Dave Matthews Band,5EjZXJ4nVpw7uI6eso1SFS375SLAFASTGRp8ebcbWFZb,0.219,-4.728,0.0081,-0.168,-0.1425,0.037,-0.37,2040,0.9446,difference_energy
Live Trax Vol. 2: Golden Gate Park,Lie in Our Graves,Dave Matthews Band,3R8APSFlJuawCg1qi5Ed3E3vDrlFRczncD2WKjoI1Sl9,0.121,-4.945,0.0051,-0.186,0.242,-0.259,-0.1264,468893,0.9395,difference_instrumentalness
Live Trax Vol. 2: Golden Gate Park,Lie in Our Graves,Dave Matthews Band,0fkgO5vFDzMhOnM8rr7SE63vDrlFRczncD2WKjoI1Sl9,0.121,-4.945,0.0051,-0.186,0.242,-0.259,-0.1264,468893,0.9395,difference_instrumentalness
Live Trax Vol. 8: Alpine Valley Music Theatre,Ants Marching,Dave Matthews Band,3HL9dtbUo5mJwXQyaEUESR6iEZdQpt3J9mHfloyVVenP,0.138,0.774,0.0655,-0.166,0.0015,-0.314,0.2543,163813,0.9393000000000001,difference_acousticness
Live Trax Vol. 9: MGM Grand Garden Arena,Say Goodbye,Dave Matthews Band,3BaddR1KOcLH6Zya5fju0e3OugzIQgMLwFzMbAa3yFKv,0.32,10.709,0.0606,-0.182,0.0045,-0.352,-0.0197,223880,0.9387999999999999,difference_energy
Live Trax Vol. 9: MGM Grand Garden Arena,Say Goodbye,Dave Matthews Band,2lDFZOo9ZxG7g7y1FDWx2k3OugzIQgMLwFzMbAa3yFKv,0.32,10.709,0.0606,-0.182,0.0045,-0.352,-0.0197,223880,0.9387999999999999,difference_energy
Live Trax Vol. 23: Whittemoore Center Arena,What Would You Say,Dave Matthews Band,58kdQwsAi2zHEiU2l0CBB81vjABucVvlQB3kMHSWZ9Iv,-0.214,-13.99,-0.0082,-0.071,-0.0004,0.113,0.531,32067,0.9376,difference_acousticness
Live Trax Vol. 23: Whittemoore Center Arena,Cry Freedom,Dave Matthews Band,7sxabPG0y5BpVR9w72bMm86GaFNCga1PG1BNPvskpKF8,-0.28,99.982,0.0134,-0.156,5.27e-06,-0.113,0.373,10307,0.9354052700000001,difference_acousticness
Live Trax Vol. 23: Whittemoore Center Arena,Cry Freedom,Dave Matthews Band,68lFGF0pRcbYgP1bhVzMOT6GaFNCga1PG1BNPvskpKF8,-0.28,99.982,0.0134,-0.156,5.27e-06,-0.113,0.373,10307,0.9354052700000001,difference_acousticness
Live Trax Vol. 7: Hampton Coliseum,Lie in Our Graves,Dave Matthews Band,3R8APSFlJuawCg1qi5Ed3E0d0qMR7Pnd4d6R0EsVl9bX,0.173,-3.582,0.0214,-0.155,-0.1077,-0.335,0.137,281626,0.9291,difference_energy
Live Trax Vol. 7: Hampton Coliseum,Lie in Our Graves,Dave Matthews Band,0fkgO5vFDzMhOnM8rr7SE60d0qMR7Pnd4d6R0EsVl9bX,0.173,-3.582,0.0214,-0.155,-0.1077,-0.335,0.137,281626,0.9291,difference_energy
Live Trax Vol. 18: Virginia Beach Amphitheatre,Ants Marching,Dave Matthews Band,3HL9dtbUo5mJwXQyaEUESR60PM7MpD3QKTTcM8VxyyTO,0.149,3.157,0.1135,-0.171,0.0208,-0.448,-0.0241,158613,0.9264000000000001,difference_energy
Live Trax Vol. 22: Montage Mountain,#41,Dave Matthews Band,2nklcPJ3YhYJfC2ibStXz92iNNq1ooxQyNAuQRsd6aeU,0.151,-7.32,0.0811,-0.236,-0.0347,-0.387,0.0362,929906,0.9259999999999999,difference_energy
Live Trax Vol. 22: Montage Mountain,#41,Dave Matthews Band,3ITGICyYHC13EkB7efdr8K2iNNq1ooxQyNAuQRsd6aeU,0.151,-7.32,0.0811,-0.236,-0.0347,-0.387,0.0362,929906,0.9259999999999999,difference_energy
Live Trax Vol. 6: Fenway Park,Smooth Rider,Dave Matthews Band,3TdIjuUBHUlgbf0XdrkYKj0a4uZd3c2YsamrxzijsvPs,0.268,-4.565,0.0069,-0.163,0.0005,-0.341,-0.1463,446627,0.9257000000000001,difference_energy
Live Trax Vol. 6: Fenway Park,Smooth Rider,Dave Matthews Band,4IUsZlE5xuSxeFHU1KIIOf0a4uZd3c2YsamrxzijsvPs,0.268,-4.565,0.0069,-0.163,0.0005,-0.341,-0.1463,446627,0.9257000000000001,difference_energy
Live Trax Vol. 6: Fenway Park,Say Goodbye,Dave Matthews Band,3BaddR1KOcLH6Zya5fju0e6Qz0ykFy11c48Q8uCIN42I,0.24,6.706,0.0473,-0.145,0.0001,-0.256,0.237,195640,0.9254,difference_energy
Live Trax Vol. 6: Fenway Park,Say Goodbye,Dave Matthews Band,2lDFZOo9ZxG7g7y1FDWx2k6Qz0ykFy11c48Q8uCIN42I,0.24,6.706,0.0473,-0.145,0.0001,-0.256,0.237,195640,0.9254,difference_energy
Live Trax Vol. 6: Fenway Park,Say Goodbye,Dave Matthews Band,3BaddR1KOcLH6Zya5fju0e2gZneWHYufjX29h0H15lFO,0.236,3.357,0.0483,-0.157,0.0,-0.234,0.25,195640,0.9253,difference_acousticness
Live Trax Vol. 6: Fenway Park,Say Goodbye,Dave Matthews Band,2lDFZOo9ZxG7g7y1FDWx2k2gZneWHYufjX29h0H15lFO,0.236,3.357,0.0483,-0.157,0.0,-0.234,0.25,195640,0.9253,difference_acousticness
Live Trax Vol. 28: John Paul Jones Arena,Spoon,Dave Matthews Band,5YOvPxr84u8fmxDXUVnzYC6scqdpvlOXBgOBH6wJHO84,0.204,0.71,-0.0048,-0.088,0.0012,0.105,-0.5183,112134,0.9212999999999999,difference_energy
Live Trax Vol. 28: John Paul Jones Arena,Spoon,Dave Matthews Band,6yC4rqHdb6mJAJwnmatQLU6scqdpvlOXBgOBH6wJHO84,0.204,0.71,-0.0048,-0.088,0.0012,0.105,-0.5183,112134,0.9212999999999999,difference_energy
Live At Red Rocks 8.15.95,Ants Marching,Dave Matthews Band,3HL9dtbUo5mJwXQyaEUESR0QNjsDXoCU6BZBalAzeNQ9,0.135,4.063,0.1015,-0.127,0.0108,-0.267,0.2773,141546,0.9186000000000001,difference_acousticness
Live At Red Rocks 8.15.95,Ants Marching,Dave Matthews Band,3HL9dtbUo5mJwXQyaEUESR7n9VawuCtXl47eXqlppSqn,0.135,4.063,0.1015,-0.127,0.0108,-0.267,0.2773,141546,0.9186000000000001,difference_acousticness
Live Trax Vol. 9: MGM Grand Garden Arena,Jimi Thing,Dave Matthews Band,1ZqWroaJ6jk1CiufXZnQBr6mqxwUbYLk6MO6mIuTA7mQ,0.142,88.012,0.1923,-0.253,0.0001,-0.264,0.0659,555040,0.9173,difference_speechiness
Live Trax Vol. 14: Nissan Pavilion,Out of My Hands,Dave Matthews Band,4CYkW3oAEaTBz74KP4R1Rt0w2WWqMx58cRLnw94aCBuU,0.032,-0.77,0.0076,-0.241,-0.227,-0.0701,-0.339,111707,0.9167,difference_energy
Live Trax Vol. 14: Nissan Pavilion,Out of My Hands,Dave Matthews Band,61keuFUZV4rC2Zxc5gQNeY0w2WWqMx58cRLnw94aCBuU,0.032,-0.77,0.0076,-0.241,-0.227,-0.0701,-0.339,111707,0.9167,difference_energy
Live Trax Vol. 6: Fenway Park,Smooth Rider,Dave Matthews Band,3TdIjuUBHUlgbf0XdrkYKj59VbAg8PJGfJhctUnQLydQ,0.269,-4.585,0.0096,-0.153,0.0003,-0.338,-0.146,446627,0.9159,difference_energy
Live Trax Vol. 6: Fenway Park,Smooth Rider,Dave Matthews Band,4IUsZlE5xuSxeFHU1KIIOf59VbAg8PJGfJhctUnQLydQ,0.269,-4.585,0.0096,-0.153,0.0003,-0.338,-0.146,446627,0.9159,difference_energy
Live Trax Vol. 11: SPAC,Pantala Naga Pampa,Dave Matthews Band,2LyYZ0ZodirA4lbN7Lzu060J3Mn49h4T4e53QKDf851N,0.248,-4.976,0.0245,-0.192,0.0069,-0.305,-0.1366,-720,0.913,difference_energy
Live Trax Vol. 11: SPAC,Pantala Naga Pampa,Dave Matthews Band,6Z8CG21MIG4Tdy3qzap3SR0J3Mn49h4T4e53QKDf851N,0.248,-4.976,0.0245,-0.192,0.0069,-0.305,-0.1366,-720,0.913,difference_energy
Live Trax Vol. 19: Vivo Rio,#41,Dave Matthews Band,2nklcPJ3YhYJfC2ibStXz970hu323op2iBuGCuDZf2vz,0.046,-11.95,0.0294,-0.22,0.2834,-0.331,-0.0019,585360,0.9117,difference_instrumentalness
Live Trax Vol. 19: Vivo Rio,#41,Dave Matthews Band,3ITGICyYHC13EkB7efdr8K70hu323op2iBuGCuDZf2vz,0.046,-11.95,0.0294,-0.22,0.2834,-0.331,-0.0019,585360,0.9117,difference_instrumentalness
Live Trax Vol. 28: John Paul Jones Arena,Seven,Dave Matthews Band,1YBx5BzwQ4r786RhhbdDkF2GGAYTu6afC4hpTW2TsPSv,0.017,4.156,0.1433,-0.292,-0.0046,-0.423,-0.0296,108134,0.9095,difference_speechiness
Live Trax Vol. 24: Spartanburg Memorial Auditorium,Ants Marching,Dave Matthews Band,3HL9dtbUo5mJwXQyaEUESR0iVos6A9M8KcYzVZnxQOXv,0.055,1.099,0.0128,-0.22,0.0001,-0.163,0.4523,19613,0.9032,difference_acousticness
Live Trax Vol. 22: Montage Mountain,Tripping Billies,Dave Matthews Band,4fXoeBGrVWfNKpdcmL8tw64BrRv1FUnPOUNuRQxrZMk6,0.016,0.336,0.1272,-0.215,-0.0301,-0.513,0.0009,117666,0.9022,difference_speechiness
Live Trax Vol. 22: Montage Mountain,Tripping Billies,Dave Matthews Band,1Rzhgl9YdghSUs37xUiQX24BrRv1FUnPOUNuRQxrZMk6,0.016,0.336,0.1272,-0.215,-0.0301,-0.513,0.0009,117666,0.9022,difference_speechiness
Live Trax Vol. 7: Hampton Coliseum,Typical Situation - Flat Five Studio Version,Dave Matthews Band,76olnHGcqOrqUklnUgmCkp4f1YLiScq8A7gd2RBNlg0Y,0.416,-5.857,0.0008,-0.108,-0.016,0.1,-0.259,381186,0.8998,difference_energy
Live Trax Vol. 7: Hampton Coliseum,Typical Situation - Flat Five Studios Bonus Trax,Dave Matthews Band,1UaizcAeBavxYqt1Poh9MI4f1YLiScq8A7gd2RBNlg0Y,0.416,-5.857,0.0008,-0.108,-0.016,0.1,-0.259,381186,0.8998,difference_energy
Live Trax Vol. 28: John Paul Jones Arena,Jimi Thing,Dave Matthews Band,1ZqWroaJ6jk1CiufXZnQBr15XJdxLiOePTDz6jbsE4Y8,0.174,2.864,0.1293,-0.181,0.0005,-0.38,-0.035,633853,0.8997999999999999,difference_energy
Live Trax Vol. 23: Whittemoore Center Arena,Say Goodbye,Dave Matthews Band,3BaddR1KOcLH6Zya5fju0e6axJchnpqWZYEq3TfhmMhF,0.006,8.589,0.0074,-0.149,-0.0004,-0.153,0.578,-36600,0.8937999999999999,difference_acousticness
Live Trax Vol. 23: Whittemoore Center Arena,Say Goodbye,Dave Matthews Band,2lDFZOo9ZxG7g7y1FDWx2k6axJchnpqWZYEq3TfhmMhF,0.006,8.589,0.0074,-0.149,-0.0004,-0.153,0.578,-36600,0.8937999999999999,difference_acousticness
Live Trax Vol. 23: Whittemoore Center Arena,Dancing Nancies,Dave Matthews Band,3VzZ1sPfv6i0t0vAuKjKoJ2J2Ha1Sht2l7ZBSudCW4bL,-0.114,0.928,-0.0076,-0.15,0.0007,-0.19,0.4311,87907,0.8934,difference_acousticness
Live Trax Vol. 3: Meadows Music Theatre,Say Goodbye,Dave Matthews Band,3BaddR1KOcLH6Zya5fju0e6M5cojG8revneOAr02nLgl,0.173,4.945,0.0194,-0.149,0.025,-0.312,0.212,268146,0.8904,difference_acousticness
Live Trax Vol. 3: Meadows Music Theatre,Say Goodbye,Dave Matthews Band,2lDFZOo9ZxG7g7y1FDWx2k6M5cojG8revneOAr02nLgl,0.173,4.945,0.0194,-0.149,0.025,-0.312,0.212,268146,0.8904,difference_acousticness
Live Trax Vol. 28: John Paul Jones Arena,Don't Drink the Water,Dave Matthews Band,1uzVvumt4H6CIxVXlkNdlz0tfDCeKUVVQCftmTdscmmu,0.159,-65.459,0.1219,-0.179,0.0005,-0.299,-0.1273,16800,0.8866999999999998,difference_energy
Live Trax Vol. 28: John Paul Jones Arena,Don't Drink the Water,Dave Matthews Band,3HWGGf3ZEfvqmzWyppxhqf0tfDCeKUVVQCftmTdscmmu,0.159,-65.459,0.1219,-0.179,0.0005,-0.299,-0.1273,16800,0.8866999999999998,difference_energy
Live Trax Vol. 6: Fenway Park,Grace Is Gone,Dave Matthews Band,36ZS04J2JbV1SH4LhbPWyI3CzUBVgb1kUFtf4hJ9zeI6,0.16,-3.852,0.0083,-0.254,0.0596,-0.048,-0.356,624867,0.8858999999999999,difference_energy
Live Trax Vol. 6: Fenway Park,Grace Is Gone,Dave Matthews Band,7qn5jYvZmq17rPMt6z92vL3CzUBVgb1kUFtf4hJ9zeI6,0.16,-3.852,0.0083,-0.254,0.0596,-0.048,-0.356,624867,0.8858999999999999,difference_energy
Live At Wrigley Field,Christmas Song,Dave Matthews Band,1Sun6mPkWpoOAiOALtgkzU6vOaGZO9vzjzjeGDc0ZBIW,0.105,68.858,-0.0316,-0.077,-0.152,-0.098,0.421,-344627,0.8845999999999999,difference_acousticness
Live At Wrigley Field,Christmas Song,Dave Matthews Band,1Sun6mPkWpoOAiOALtgkzU1dj7HFtvaPok3N3ZxDXaiv,0.105,68.858,-0.0316,-0.077,-0.152,-0.098,0.421,-344627,0.8845999999999999,difference_acousticness
Live At Wrigley Field,Christmas Song,Dave Matthews Band,33visFacbTGcJ3xzWOjEnq6vOaGZO9vzjzjeGDc0ZBIW,0.105,68.858,-0.0316,-0.077,-0.152,-0.098,0.421,-344627,0.8845999999999999,difference_acousticness
Live At Wrigley Field,Christmas Song,Dave Matthews Band,33visFacbTGcJ3xzWOjEnq1dj7HFtvaPok3N3ZxDXaiv,0.105,68.858,-0.0316,-0.077,-0.152,-0.098,0.421,-344627,0.8845999999999999,difference_acousticness
