album_name_live,track_name_studio,artist_name_studio,track_key,difference_energy,difference_tempo,difference_speechiness,difference_dance,difference_instrumentalness,difference_valence,difference_acousticness
The Central Park Concert,Dancing Nancies,Dave Matthews Band,3VzZ1sPfv6i0t0vAuKjKoJ70ZYqesQyTlQzrA2d29zAf,0.035,3.64,0.002,-0.228,0.0002,-0.131,-0.0123
Live At Folsom Field Boulder Colorado,Digging a Ditch,Dave Matthews Band,17Tae8EcEurdaO2G8uYsGA2MIdvsYQBVBRr2jztiFI9E,0.036,-1.276,0.0018,-0.191,-0.0005,0.03,-0.342
Live At Folsom Field Boulder Colorado,Digging a Ditch,Dave Matthews Band,17Tae8EcEurdaO2G8uYsGA4Ek4aN7VjLTRe0cvHCC3Fp,0.036,-1.276,0.0018,-0.191,-0.0005,0.03,-0.342
Live At Folsom Field Boulder Colorado,Digging a Ditch,Dave Matthews Band,5UrDCkiMqoTZLnPeuFkuKy2MIdvsYQBVBRr2jztiFI9E,0.036,-1.276,0.0018,-0.191,-0.0005,0.03,-0.342
Live At Folsom Field Boulder Colorado,Digging a Ditch,Dave Matthews Band,5UrDCkiMqoTZLnPeuFkuKy4Ek4aN7VjLTRe0cvHCC3Fp,0.036,-1.276,0.0018,-0.191,-0.0005,0.03,-0.342
Live At Wrigley Field,Digging a Ditch,Dave Matthews Band,17Tae8EcEurdaO2G8uYsGA2Oq3ABbQldcbyz9CtCCbZ4,0.089,3.339,0.0027,-0.128,-0.0005,-0.052,-0.402
Live At Wrigley Field,Digging a Ditch,Dave Matthews Band,17Tae8EcEurdaO2G8uYsGA3urSRzSMqAJhEy4dtIaBhL,0.089,3.339,0.0027,-0.128,-0.0005,-0.052,-0.402
Live At Wrigley Field,Digging a Ditch,Dave Matthews Band,5UrDCkiMqoTZLnPeuFkuKy2Oq3ABbQldcbyz9CtCCbZ4,0.089,3.339,0.0027,-0.128,-0.0005,-0.052,-0.402
Live At Wrigley Field,Digging a Ditch,Dave Matthews Band,5UrDCkiMqoTZLnPeuFkuKy3urSRzSMqAJhEy4dtIaBhL,0.089,3.339,0.0027,-0.128,-0.0005,-0.052,-0.402
Live Trax Vol. 11: SPAC,Digging a Ditch,Dave Matthews Band,17Tae8EcEurdaO2G8uYsGA2JAuUcfrc8bcp1MmBlso5I,-0.012,-0.898,-0.0042,-0.12,0.0145,0.078,-0.221
Live Trax Vol. 11: SPAC,Digging a Ditch,Dave Matthews Band,5UrDCkiMqoTZLnPeuFkuKy2JAuUcfrc8bcp1MmBlso5I,-0.012,-0.898,-0.0042,-0.12,0.0145,0.078,-0.221
Live Trax Vol. 16: Riverbend Music Center,Digging a Ditch,Dave Matthews Band,17Tae8EcEurdaO2G8uYsGA4OvyHb8BLaVpwE8asY2lVO,-0.049,6.407,-0.0085,-0.152,0.0107,-0.035,-0.239
Live Trax Vol. 16: Riverbend Music Center,Digging a Ditch,Dave Matthews Band,5UrDCkiMqoTZLnPeuFkuKy4OvyHb8BLaVpwE8asY2lVO,-0.049,6.407,-0.0085,-0.152,0.0107,-0.035,-0.239
Live Trax Vol. 26: Sleep Train Amphitheater,Digging a Ditch,Dave Matthews Band,17Tae8EcEurdaO2G8uYsGA3rIanDATL6x3MmASduCoKm,-0.14,-2.197,-0.0003,-0.121,-0.0001,0.022,-0.19
Live Trax Vol. 26: Sleep Train Amphitheater,Digging a Ditch,Dave Matthews Band,5UrDCkiMqoTZLnPeuFkuKy3rIanDATL6x3MmASduCoKm,-0.14,-2.197,-0.0003,-0.121,-0.0001,0.022,-0.19
Live Trax Vol. 6: Fenway Park,Digging a Ditch,Dave Matthews Band,17Tae8EcEurdaO2G8uYsGA3MREjY1g3A6hU6KYlkC8A7,-0.054,-6.09,-0.0065,-0.056,-0.0005,0.005,-0.449
Live Trax Vol. 6: Fenway Park,Digging a Ditch,Dave Matthews Band,17Tae8EcEurdaO2G8uYsGA4q5zBO7PI0Mg3Kovg2JdlE,-0.057,-6.114,-0.0067,-0.056,-0.0005,0.008,-0.432
Live Trax Vol. 6: Fenway Park,Digging a Ditch,Dave Matthews Band,5UrDCkiMqoTZLnPeuFkuKy3MREjY1g3A6hU6KYlkC8A7,-0.054,-6.09,-0.0065,-0.056,-0.0005,0.005,-0.449
Live Trax Vol. 6: Fenway Park,Digging a Ditch,Dave Matthews Band,5UrDCkiMqoTZLnPeuFkuKy4q5zBO7PI0Mg3Kovg2JdlE,-0.057,-6.114,-0.0067,-0.056,-0.0005,0.008,-0.432
DMB Live Trax Vol. 13,Don't Drink the Water,Dave Matthews Band,1uzVvumt4H6CIxVXlkNdlz2bef116vhK4VFvSErV0J12,0.147,20.931,0.0139,-0.135,0.0065,-0.053,-0.1317
DMB Live Trax Vol. 13,Don't Drink the Water,Dave Matthews Band,3HWGGf3ZEfvqmzWyppxhqf2bef116vhK4VFvSErV0J12,0.147,20.931,0.0139,-0.135,0.0065,-0.053,-0.1317
Live At Folsom Field Boulder Colorado,Don't Drink the Water,Dave Matthews Band,1uzVvumt4H6CIxVXlkNdlz193s3w6fY6e25XFExYgBjE,0.099,-75.185,-0.0277,-0.043,0.0002,-0.176,-0.1281
Live At Folsom Field Boulder Colorado,Don't Drink the Water,Dave Matthews Band,1uzVvumt4H6CIxVXlkNdlz4a5vdTNxO4XEUbsWiP38Fu,0.099,-75.185,-0.0277,-0.043,0.0002,-0.176,-0.1281
Live At Folsom Field Boulder Colorado,Don't Drink the Water,Dave Matthews Band,3HWGGf3ZEfvqmzWyppxhqf193s3w6fY6e25XFExYgBjE,0.099,-75.185,-0.0277,-0.043,0.0002,-0.176,-0.1281
Live At Folsom Field Boulder Colorado,Don't Drink the Water,Dave Matthews Band,3HWGGf3ZEfvqmzWyppxhqf4a5vdTNxO4XEUbsWiP38Fu,0.099,-75.185,-0.0277,-0.043,0.0002,-0.176,-0.1281
Live At Mile High Music Festival,Don't Drink the Water,Dave Matthews Band,1uzVvumt4H6CIxVXlkNdlz1ia62xRF2Se5SPDZ2xjJZw,0.173,-69.412,0.0569,-0.083,-7.09e-06,-0.14,-0.1254
Live At Mile High Music Festival,Don't Drink the Water,Dave Matthews Band,1uzVvumt4H6CIxVXlkNdlz2GYHEbCilMSMTi6YqBk22U,0.173,-69.412,0.0569,-0.083,-7.09e-06,-0.14,-0.1254
Live At Mile High Music Festival,Don't Drink the Water,Dave Matthews Band,3HWGGf3ZEfvqmzWyppxhqf1ia62xRF2Se5SPDZ2xjJZw,0.173,-69.412,0.0569,-0.083,-7.09e-06,-0.14,-0.1254
Live At Mile High Music Festival,Don't Drink the Water,Dave Matthews Band,3HWGGf3ZEfvqmzWyppxhqf2GYHEbCilMSMTi6YqBk22U,0.173,-69.412,0.0569,-0.083,-7.09e-06,-0.14,-0.1254
Live At Piedmont Park,Don't Drink the Water,Dave Matthews Band,1uzVvumt4H6CIxVXlkNdlz4QzrWkN0pS1KihLs5rjSa1,0.031,-69.335,-0.0108,-0.131,0.0002,-0.268,0.132
Live At Piedmont Park,Don't Drink the Water,Dave Matthews Band,1uzVvumt4H6CIxVXlkNdlz79fG9gEVQCoh3IHSM7z3QQ,0.031,-69.335,-0.0108,-0.131,0.0002,-0.268,0.132
Live At Piedmont Park,Don't Drink the Water,Dave Matthews Band,3HWGGf3ZEfvqmzWyppxhqf4QzrWkN0pS1KihLs5rjSa1,0.031,-69.335,-0.0108,-0.131,0.0002,-0.268,0.132
Live At Piedmont Park,Don't Drink the Water,Dave Matthews Band,3HWGGf3ZEfvqmzWyppxhqf79fG9gEVQCoh3IHSM7z3QQ,0.031,-69.335,-0.0108,-0.131,0.0002,-0.268,0.132
Live In Chicago 12.19.98 at The United Center,Don't Drink the Water,Dave Matthews Band,1uzVvumt4H6CIxVXlkNdlz2BG8NMGWWNXZpAVTr6hSgt,0.148,-74.154,0.0379,0.042,0.0,0.06,-0.1294
Live In Chicago 12.19.98 at The United Center,Don't Drink the Water,Dave Matthews Band,1uzVvumt4H6CIxVXlkNdlz2kVQxHUtk4Ob6BC1MqPDQ3,0.148,-74.154,0.0379,0.042,0.0,0.06,-0.1294
Live In Chicago 12.19.98 at The United Center,Don't Drink the Water,Dave Matthews Band,3HWGGf3ZEfvqmzWyppxhqf2BG8NMGWWNXZpAVTr6hSgt,0.148,-74.154,0.0379,0.042,0.0,0.06,-0.1294
Live In Chicago 12.19.98 at The United Center,Don't Drink the Water,Dave Matthews Band,3HWGGf3ZEfvqmzWyppxhqf2kVQxHUtk4Ob6BC1MqPDQ3,0.148,-74.154,0.0379,0.042,0.0,0.06,-0.1294
Live Trax Vol. 10: Pavilion Atlantico,Don't Drink the Water,Dave Matthews Band,1uzVvumt4H6CIxVXlkNdlz5dQ23GQrFPAnBdFgyZxaI0,0.176,27.059,0.1979,-0.199,-1e-08,-0.114,-0.1265
Live Trax Vol. 10: Pavilion Atlantico,Don't Drink the Water,Dave Matthews Band,3HWGGf3ZEfvqmzWyppxhqf5dQ23GQrFPAnBdFgyZxaI0,0.176,27.059,0.1979,-0.199,-1e-08,-0.114,-0.1265
Live Trax Vol. 11: SPAC,Don't Drink the Water,Dave Matthews Band,1uzVvumt4H6CIxVXlkNdlz56h4lkn9ufFdCBqqg1biQr,0.069,10.387,-0.0259,-0.077,0.0033,-0.016,-0.1202
Live Trax Vol. 11: SPAC,Don't Drink the Water,Dave Matthews Band,3HWGGf3ZEfvqmzWyppxhqf56h4lkn9ufFdCBqqg1biQr,0.069,10.387,-0.0259,-0.077,0.0033,-0.016,-0.1202
Live Trax Vol. 13: Busch Stadium,Don't Drink the Water,Dave Matthews Band,1uzVvumt4H6CIxVXlkNdlz7uir4QfnYhkIqJl2Bb0QVe,0.151,20.992,0.0169,-0.137,0.005,-0.061,-0.1317
Live Trax Vol. 13: Busch Stadium,Don't Drink the Water,Dave Matthews Band,3HWGGf3ZEfvqmzWyppxhqf7uir4QfnYhkIqJl2Bb0QVe,0.151,20.992,0.0169,-0.137,0.005,-0.061,-0.1317
Live Trax Vol. 14: Nissan Pavilion,Don't Drink the Water,Dave Matthews Band,1uzVvumt4H6CIxVXlkNdlz6XeYgQas0pGOZXIRLAyT5i,0.112,-71.335,-0.0169,-0.182,0.0971,-0.3225,-0.1319
Live Trax Vol. 14: Nissan Pavilion,Don't Drink the Water,Dave Matthews Band,3HWGGf3ZEfvqmzWyppxhqf6XeYgQas0pGOZXIRLAyT5i,0.112,-71.335,-0.0169,-0.182,0.0971,-0.3225,-0.1319
Live Trax Vol. 15: Alpine Valley Music Theatre,Don't Drink the Water,Dave Matthews Band,1uzVvumt4H6CIxVXlkNdlz68azjr7hzUTlnAl7FbMQhO,0.121,-68.426,-0.0066,-0.075,0.0002,-0.277,-0.1313
Live Trax Vol. 15: Alpine Valley Music Theatre,Don't Drink the Water,Dave Matthews Band,3HWGGf3ZEfvqmzWyppxhqf68azjr7hzUTlnAl7FbMQhO,0.121,-68.426,-0.0066,-0.075,0.0002,-0.277,-0.1313
Live Trax Vol. 19: Vivo Rio,Don't Drink the Water,Dave Matthews Band,1uzVvumt4H6CIxVXlkNdlz4VIt9vKreq1pVMjqsNvxB6,0.166,-67.751,-0.0243,0.028,0.0,-0.024,-0.132
Live Trax Vol. 19: Vivo Rio,Don't Drink the Water,Dave Matthews Band,3HWGGf3ZEfvqmzWyppxhqf4VIt9vKreq1pVMjqsNvxB6,0.166,-67.751,-0.0243,0.028,0.0,-0.024,-0.132
Live Trax Vol. 1: Centrum Centre,Don't Drink the Water,Dave Matthews Band,1uzVvumt4H6CIxVXlkNdlz4UhGXSrvuQ3DVLgauNrYRG,0.144,15.266,-0.0062,-0.079,0.0026,0.036,0.036
Live Trax Vol. 1: Centrum Centre,Don't Drink the Water,Dave Matthews Band,3HWGGf3ZEfvqmzWyppxhqf4UhGXSrvuQ3DVLgauNrYRG,0.144,15.266,-0.0062,-0.079,0.0026,0.036,0.036
"Live Trax Vol. 27: Luna Park, Buenos Aires, Argentina",Don't Drink the Water,Dave Matthews Band,1uzVvumt4H6CIxVXlkNdlz1SnQc7BNXYnsy7aPsygURP,0.092,-64.795,-0.0244,0.044,0.0001,-0.098,-0.1154
"Live Trax Vol. 27: Luna Park, Buenos Aires, Argentina",Don't Drink the Water,Dave Matthews Band,3HWGGf3ZEfvqmzWyppxhqf1SnQc7BNXYnsy7aPsygURP,0.092,-64.795,-0.0244,0.044,0.0001,-0.098,-0.1154
Live Trax Vol. 28: John Paul Jones Arena,Don't Drink the Water,Dave Matthews Band,1uzVvumt4H6CIxVXlkNdlz0tfDCeKUVVQCftmTdscmmu,0.159,-65.459,0.1219,-0.179,0.0005,-0.299,-0.1273
Live Trax Vol. 28: John Paul Jones Arena,Don't Drink the Water,Dave Matthews Band,3HWGGf3ZEfvqmzWyppxhqf0tfDCeKUVVQCftmTdscmmu,0.159,-65.459,0.1219,-0.179,0.0005,-0.299,-0.1273
Live Trax Vol. 6: Fenway Park,Don't Drink the Water,Dave Matthews Band,1uzVvumt4H6CIxVXlkNdlz4craMMfe8zFKzaKNjown5U,0.05,23.085,-0.0119,-0.25,0.0001,-0.3121,-0.0912
Live Trax Vol. 6: Fenway Park,Don't Drink the Water,Dave Matthews Band,1uzVvumt4H6CIxVXlkNdlz5Y26PSQS37FkoKcvlw5I0k,0.049,22.158,-0.0127,-0.25,0.0001,-0.305,-0.0942
Live Trax Vol. 6: Fenway Park,Don't Drink the Water,Dave Matthews Band,3HWGGf3ZEfvqmzWyppxhqf4craMMfe8zFKzaKNjown5U,0.05,23.085,-0.0119,-0.25,0.0001,-0.3121,-0.0912
Live Trax Vol. 6: Fenway Park,Don't Drink the Water,Dave Matthews Band,3HWGGf3ZEfvqmzWyppxhqf5Y26PSQS37FkoKcvlw5I0k,0.049,22.158,-0.0127,-0.25,0.0001,-0.305,-0.0942
Live Trax Vol. 9: MGM Grand Garden Arena,Don't Drink the Water,Dave Matthews Band,1uzVvumt4H6CIxVXlkNdlz2UI5rZVIZXwQZw6npi47Vu,0.136,21.494,0.0619,-0.054,0.0,0.036,-0.1279
Live Trax Vol. 9: MGM Grand Garden Arena,Don't Drink the Water,Dave Matthews Band,3HWGGf3ZEfvqmzWyppxhqf2UI5rZVIZXwQZw6npi47Vu,0.136,21.494,0.0619,-0.054,0.0,0.036,-0.1279
The Central Park Concert,Don't Drink the Water,Dave Matthews Band,1uzVvumt4H6CIxVXlkNdlz5BxDPIU5YkCI9pT08DbklW,0.098,19.912,-0.0014,-0.268,-7.09e-06,-0.261,-0.1264
The Central Park Concert,Don't Drink the Water,Dave Matthews Band,3HWGGf3ZEfvqmzWyppxhqf5BxDPIU5YkCI9pT08DbklW,0.098,19.912,-0.0014,-0.268,-7.09e-06,-0.261,-0.1264
Live Trax Vol. 10: Pavilion Atlantico,Dreamgirl,Dave Matthews Band,3wKpAmt4dWefApt5KPbJeg0D8UWdNnfYRL4tJ7iqrjE8,0.295,-5.769,0.0345,-0.107,-0.0009,0.17,-0.1946
Live Trax Vol. 10: Pavilion Atlantico,Dreamgirl,Dave Matthews Band,67d8PXMNPiKauh0XQk9Ls70D8UWdNnfYRL4tJ7iqrjE8,0.295,-5.769,0.0345,-0.107,-0.0009,0.17,-0.1946
Live Trax Vol. 9: MGM Grand Garden Arena,Dreamgirl,Dave Matthews Band,3wKpAmt4dWefApt5KPbJeg0GXBySMPtmj0Is0RwUBC6B,0.27,-2.312,-0.0043,0.0,-0.0008,0.259,-0.2221
Live Trax Vol. 9: MGM Grand Garden Arena,Dreamgirl,Dave Matthews Band,67d8PXMNPiKauh0XQk9Ls70GXBySMPtmj0Is0RwUBC6B,0.27,-2.312,-0.0043,0.0,-0.0008,0.259,-0.2221
Live At Red Rocks 8.15.95,Drive in Drive Out,Dave Matthews Band,22uGhosSApYImC4ccHry1q0tdt0axNHwIgbVDdD4Q1M0,-0.034,3.191,0.0274,-0.001,-0.0269,-0.221,0.1738
Live At Red Rocks 8.15.95,Drive in Drive Out,Dave Matthews Band,22uGhosSApYImC4ccHry1q4ss1b67aPHCwvQivfFqMCL,-0.034,3.191,0.0274,-0.001,-0.0269,-0.221,0.1738
Live At Red Rocks 8.15.95,Drive in Drive Out,Dave Matthews Band,2gg2kPH4HtIMDAzLEdIyOj0tdt0axNHwIgbVDdD4Q1M0,-0.034,3.191,0.0274,-0.001,-0.0269,-0.221,0.1738
Live At Red Rocks 8.15.95,Drive in Drive Out,Dave Matthews Band,2gg2kPH4HtIMDAzLEdIyOj4ss1b67aPHCwvQivfFqMCL,-0.034,3.191,0.0274,-0.001,-0.0269,-0.221,0.1738
Live Trax Vol. 12: L.B. Day Amphitheater,Drive in Drive Out,Dave Matthews Band,22uGhosSApYImC4ccHry1q4VXFAAh1qGUkc3bVOFKpQQ,-0.001,6.964,-0.0122,0.125,0.0604,-0.039,0.002
Live Trax Vol. 12: L.B. Day Amphitheater,Drive in Drive Out,Dave Matthews Band,2gg2kPH4HtIMDAzLEdIyOj4VXFAAh1qGUkc3bVOFKpQQ,-0.001,6.964,-0.0122,0.125,0.0604,-0.039,0.002
Live Trax Vol. 16: Riverbend Music Center,Drive in Drive Out,Dave Matthews Band,22uGhosSApYImC4ccHry1q29V2GKN2lP7RU2NJWa7eH2,-0.069,-3.173,-0.0004,0.154,-0.0264,-0.215,0.0314
Live Trax Vol. 16: Riverbend Music Center,Drive in Drive Out,Dave Matthews Band,2gg2kPH4HtIMDAzLEdIyOj29V2GKN2lP7RU2NJWa7eH2,-0.069,-3.173,-0.0004,0.154,-0.0264,-0.215,0.0314
Live Trax Vol. 18: Virginia Beach Amphitheatre,Drive in Drive Out,Dave Matthews Band,22uGhosSApYImC4ccHry1q2VtDMuGaH0Xquu6TtO7isI,0.007,0.094,0.0102,0.151,-0.0145,-0.029,0.0005
Live Trax Vol. 18: Virginia Beach Amphitheatre,Drive in Drive Out,Dave Matthews Band,2gg2kPH4HtIMDAzLEdIyOj2VtDMuGaH0Xquu6TtO7isI,0.007,0.094,0.0102,0.151,-0.0145,-0.029,0.0005
Live Trax Vol. 1: Centrum Centre,Drive in Drive Out,Dave Matthews Band,22uGhosSApYImC4ccHry1q7i99q0RczvWbzaZrcmPj0L,0.062,-5.086,-0.0018,0.069,0.3358,-0.028,0.3148
Live Trax Vol. 1: Centrum Centre,Drive in Drive Out,Dave Matthews Band,2gg2kPH4HtIMDAzLEdIyOj7i99q0RczvWbzaZrcmPj0L,0.062,-5.086,-0.0018,0.069,0.3358,-0.028,0.3148
Live Trax Vol. 21: SOMA,Drive in Drive Out,Dave Matthews Band,22uGhosSApYImC4ccHry1q6jBsZXzMRAiZM5iz9KneWX,0.011,6.186,0.0197,0.014,-0.0272,-0.255,0.0032
Live Trax Vol. 21: SOMA,Drive in Drive Out,Dave Matthews Band,2gg2kPH4HtIMDAzLEdIyOj6jBsZXzMRAiZM5iz9KneWX,0.011,6.186,0.0197,0.014,-0.0272,-0.255,0.0032
Live Trax Vol. 2: Golden Gate Park,Drive in Drive Out,Dave Matthews Band,22uGhosSApYImC4ccHry1q0jMrx3CntJHHYa4cA61kCX,0.051,0.526,0.0028,0.052,0.0108,-0.196,0.0308
Live Trax Vol. 2: Golden Gate Park,Drive in Drive Out,Dave Matthews Band,2gg2kPH4HtIMDAzLEdIyOj0jMrx3CntJHHYa4cA61kCX,0.051,0.526,0.0028,0.052,0.0108,-0.196,0.0308
Live Trax Vol. 3: Meadows Music Theatre,Drive in Drive Out,Dave Matthews Band,22uGhosSApYImC4ccHry1q3OHXWtm81VompS1u1pZVqJ,0.049,-4.334,0.0087,0.09,-0.0261,-0.09,0.0362
Live Trax Vol. 3: Meadows Music Theatre,Drive in Drive Out,Dave Matthews Band,2gg2kPH4HtIMDAzLEdIyOj3OHXWtm81VompS1u1pZVqJ,0.049,-4.334,0.0087,0.09,-0.0261,-0.09,0.0362
Live Trax Vol. 4: Classic Amphitheatre,Drive in Drive Out,Dave Matthews Band,22uGhosSApYImC4ccHry1q3tymjsUwKeXASq3UKe1g6x,0.062,0.48,0.0616,0.091,-0.0236,-0.165,0.0165
Live Trax Vol. 4: Classic Amphitheatre,Drive in Drive Out,Dave Matthews Band,2gg2kPH4HtIMDAzLEdIyOj3tymjsUwKeXASq3UKe1g6x,0.062,0.48,0.0616,0.091,-0.0236,-0.165,0.0165
Live Trax Vol. 5: Meadow Brook Music Festival,Drive in Drive Out,Dave Matthews Band,22uGhosSApYImC4ccHry1q3l7z1uJkeFLeHjOk2l8TsJ,0.071,-0.163,0.0081,0.02,-0.026,-0.125,0.0292
Live Trax Vol. 5: Meadow Brook Music Festival,Drive in Drive Out,Dave Matthews Band,2gg2kPH4HtIMDAzLEdIyOj3l7z1uJkeFLeHjOk2l8TsJ,0.071,-0.163,0.0081,0.02,-0.026,-0.125,0.0292
DMB Live Trax Vol. 13,Everyday,Dave Matthews Band,4UkejguW7NyNfcWl2r4fqV3S4vXnQ2yclNFqs6ddOHV5,-0.079,1.123,0.0193,-0.068,0.0003,-0.145,0.035
DMB Live Trax Vol. 13,Everyday,Dave Matthews Band,7MfQyndzk9R3pRRl5eGnNV3S4vXnQ2yclNFqs6ddOHV5,-0.079,1.123,0.0193,-0.068,0.0003,-0.145,0.035
Live At Folsom Field Boulder Colorado,Everyday,Dave Matthews Band,4UkejguW7NyNfcWl2r4fqV0KmzxihVtAMDQQkrzpambe,-0.047,-2.322,0.0134,-0.039,-5.74e-06,-0.072,0.162
Live At Folsom Field Boulder Colorado,Everyday,Dave Matthews Band,4UkejguW7NyNfcWl2r4fqV16zkCaEnVc0PNgnps8bPy7,-0.048,-2.322,0.0125,-0.039,-5.74e-06,-0.073,0.162
Live At Folsom Field Boulder Colorado,Everyday,Dave Matthews Band,7MfQyndzk9R3pRRl5eGnNV0KmzxihVtAMDQQkrzpambe,-0.047,-2.322,0.0134,-0.039,-5.74e-06,-0.072,0.162
Live At Folsom Field Boulder Colorado,Everyday,Dave Matthews Band,7MfQyndzk9R3pRRl5eGnNV16zkCaEnVc0PNgnps8bPy7,-0.048,-2.322,0.0125,-0.039,-5.74e-06,-0.073,0.162
Live Trax Vol. 10: Pavilion Atlantico,Everyday,Dave Matthews Band,4UkejguW7NyNfcWl2r4fqV3huudlYGPux0nOCoGss3yB,0.029,-2.457,0.0323,-0.184,6.26e-06,-0.227,0.201
Live Trax Vol. 10: Pavilion Atlantico,Everyday,Dave Matthews Band,7MfQyndzk9R3pRRl5eGnNV3huudlYGPux0nOCoGss3yB,0.029,-2.457,0.0323,-0.184,6.26e-06,-0.227,0.201
Live Trax Vol. 13: Busch Stadium,Everyday,Dave Matthews Band,4UkejguW7NyNfcWl2r4fqV385e5nooCmbqUkYLgSbRx1,-0.077,2.038,0.0238,-0.079,0.0004,-0.134,0.019
Live Trax Vol. 13: Busch Stadium,Everyday,Dave Matthews Band,7MfQyndzk9R3pRRl5eGnNV385e5nooCmbqUkYLgSbRx1,-0.077,2.038,0.0238,-0.079,0.0004,-0.134,0.019
Live Trax Vol. 14: Nissan Pavilion,Everyday,Dave Matthews Band,4UkejguW7NyNfcWl2r4fqV2sM7YWefLIJjlhEOBYlXfs,-0.072,-0.542,-0.0044,-0.081,0.0017,-0.131,-0.108
Live Trax Vol. 14: Nissan Pavilion,Everyday,Dave Matthews Band,7MfQyndzk9R3pRRl5eGnNV2sM7YWefLIJjlhEOBYlXfs,-0.072,-0.542,-0.0044,-0.081,0.0017,-0.131,-0.108
Live Trax Vol. 25: UMB Bank Pavilion,Everyday,Dave Matthews Band,4UkejguW7NyNfcWl2r4fqV6cuRCBpuWn0iwZW6uskZNV,-0.284,-5.702,0.0374,-0.249,4.56e-06,-0.167,0.339
Live Trax Vol. 25: UMB Bank Pavilion,Everyday,Dave Matthews Band,7MfQyndzk9R3pRRl5eGnNV6cuRCBpuWn0iwZW6uskZNV,-0.284,-5.702,0.0374,-0.249,4.56e-06,-0.167,0.339
"Live Trax Vol. 27: Luna Park, Buenos Aires, Argentina",Everyday,Dave Matthews Band,4UkejguW7NyNfcWl2r4fqV3jqwhhV5Rs9ELipUF9UXTz,-0.256,4.124,0.0094,-0.023,0.0001,-0.114,0.285
"Live Trax Vol. 27: Luna Park, Buenos Aires, Argentina",Everyday,Dave Matthews Band,7MfQyndzk9R3pRRl5eGnNV3jqwhhV5Rs9ELipUF9UXTz,-0.256,4.124,0.0094,-0.023,0.0001,-0.114,0.285
Live Trax Vol. 28: John Paul Jones Arena,Everyday,Dave Matthews Band,4UkejguW7NyNfcWl2r4fqV4FwFWJqzoaISKcJ2JGMOaC,-0.018,2.311,0.0773,-0.217,7.76e-06,-0.261,-0.0856
Live Trax Vol. 28: John Paul Jones Arena,Everyday,Dave Matthews Band,7MfQyndzk9R3pRRl5eGnNV4FwFWJqzoaISKcJ2JGMOaC,-0.018,2.311,0.0773,-0.217,7.76e-06,-0.261,-0.0856
Live Trax Vol. 2: Golden Gate Park,Everyday,Dave Matthews Band,4UkejguW7NyNfcWl2r4fqV4xZIIU7SjOV0iS2EpoLFT1,-0.227,-0.029,0.0138,-0.109,0.0198,-0.243,0.386
Live Trax Vol. 2: Golden Gate Park,Everyday,Dave Matthews Band,7MfQyndzk9R3pRRl5eGnNV4xZIIU7SjOV0iS2EpoLFT1,-0.227,-0.029,0.0138,-0.109,0.0198,-0.243,0.386
Live Trax Vol. 6: Fenway Park,Everyday,Dave Matthews Band,4UkejguW7NyNfcWl2r4fqV1MsakEwKaXl1IDysX1U9gE,-0.187,-2.845,0.0068,-0.105,-3.05e-06,-0.076,0.228
Live Trax Vol. 6: Fenway Park,Everyday,Dave Matthews Band,4UkejguW7NyNfcWl2r4fqV1Vl4flNgESCYdnhOF0YcBa,-0.187,-3.801,0.0096,-0.1,-1.34e-06,-0.083,0.24
Live Trax Vol. 6: Fenway Park,Everyday,Dave Matthews Band,7MfQyndzk9R3pRRl5eGnNV1MsakEwKaXl1IDysX1U9gE,-0.187,-2.845,0.0068,-0.105,-3.05e-06,-0.076,0.228
Live Trax Vol. 6: Fenway Park,Everyday,Dave Matthews Band,7MfQyndzk9R3pRRl5eGnNV1Vl4flNgESCYdnhOF0YcBa,-0.187,-3.801,0.0096,-0.1,-1.34e-06,-0.083,0.24
Live Trax Vol. 8: Alpine Valley Music Theatre,Everyday,Dave Matthews Band,4UkejguW7NyNfcWl2r4fqV5wFn0e8W7UD5oqsxXm9HTn,-0.139,-0.383,0.0047,-0.219,0.0005,-0.034,0.605
Live Trax Vol. 8: Alpine Valley Music Theatre,Everyday,Dave Matthews Band,7MfQyndzk9R3pRRl5eGnNV5wFn0e8W7UD5oqsxXm9HTn,-0.139,-0.383,0.0047,-0.219,0.0005,-0.034,0.605
Live Trax Vol. 9: MGM Grand Garden Arena,Everyday,Dave Matthews Band,4UkejguW7NyNfcWl2r4fqV21vZBHxUOpG2jC5KXquUU6,-0.13,-2.213,0.0242,-0.107,0.0001,-0.16,0.221
Live Trax Vol. 9: MGM Grand Garden Arena,Everyday,Dave Matthews Band,7MfQyndzk9R3pRRl5eGnNV21vZBHxUOpG2jC5KXquUU6,-0.13,-2.213,0.0242,-0.107,0.0001,-0.16,0.221
Weekend On The Rocks,Everyday,Dave Matthews Band,4UkejguW7NyNfcWl2r4fqV5vRPqLSW6MhHtP7GEe622m,-0.089,-1.023,0.0059,-0.139,-2.09e-06,-0.068,0.245
Weekend On The Rocks,Everyday,Dave Matthews Band,7MfQyndzk9R3pRRl5eGnNV5vRPqLSW6MhHtP7GEe622m,-0.089,-1.023,0.0059,-0.139,-2.09e-06,-0.068,0.245
Live In New York City,Funny the Way It Is,Dave Matthews Band,7fDIjm8rPH5BpCw1hzkcXX2VTwrOG3ai6Qrz3h5KjZD7,0.011,6.052,0.054,-0.225,0.0,-0.35,-0.1501
